id,label,video_path,category
1,real,real/0002_testing-videos_30FPS_perspective-center_take-1_trimmed-ball-and-block-fall.mp4,unknown
2,real,real/0011_testing-videos_30FPS_perspective-center_take-1_trimmed-ball-hits-nothing.mp4,unknown
3,real,real/0014_testing-videos_30FPS_perspective-center_take-1_trimmed-ball-in-basket.mp4,unknown
4,real,real/0020_testing-videos_30FPS_perspective-center_take-1_trimmed-ball-ramp.mp4,unknown
5,real,real/0035_testing-videos_30FPS_perspective-center_take-1_trimmed-block-domino.mp4,unknown
6,real,real/0038_testing-videos_30FPS_perspective-center_take-1_trimmed-blow-balloon.mp4,unknown
7,real,real/0041_testing-videos_30FPS_perspective-center_take-1_trimmed-cut-orange.mp4,unknown
8,real,real/0053_testing-videos_30FPS_perspective-center_take-1_trimmed-double-cradle.mp4,unknown
9,real,real/0059_testing-videos_30FPS_perspective-center_take-1_trimmed-duck-falls-in-box.mp4,unknown
10,real,real/0062_testing-videos_30FPS_perspective-center_take-1_trimmed-duck-static.mp4,unknown
11,real,real/0077_testing-videos_30FPS_perspective-center_take-1_trimmed-light-on-mug.mp4,unknown
12,real,real/0083_testing-videos_30FPS_perspective-center_take-1_trimmed-light-on-statue.mp4,unknown
13,real,real/0086_testing-videos_30FPS_perspective-center_take-1_trimmed-liquid-on-duck.mp4,unknown
14,real,real/0089_testing-videos_30FPS_perspective-center_take-1_trimmed-liquid-overfill.mp4,unknown
15,real,real/0107_testing-videos_30FPS_perspective-center_take-1_trimmed-marble-run-y.mp4,unknown
16,real,real/0131_testing-videos_30FPS_perspective-center_take-1_trimmed-paint-on-glass.mp4,unknown
17,real,real/0134_testing-videos_30FPS_perspective-center_take-1_trimmed-paper-fall-water.mp4,unknown
18,real,real/0137_testing-videos_30FPS_perspective-center_take-1_trimmed-paper-in-water.mp4,unknown
19,real,real/0146_testing-videos_30FPS_perspective-center_take-1_trimmed-roll-behind-box.mp4,unknown
20,real,real/0161_testing-videos_30FPS_perspective-center_take-1_trimmed-single-cradle.mp4,unknown
21,real,real/0164_testing-videos_30FPS_perspective-center_take-1_trimmed-siphon.mp4,unknown
22,real,real/0173_testing-videos_30FPS_perspective-center_take-1_trimmed-stable-blocks.mp4,unknown
23,real,real/0188_testing-videos_30FPS_perspective-center_take-1_trimmed-weight-on-ceramic.mp4,unknown
24,real,real/0194_testing-videos_30FPS_perspective-center_take-1_trimmed-weight-on-pillow.mp4,unknown
25,real,real/0209_testing-videos_30FPS_perspective-center_take-2_trimmed-ball-hits-nothing.mp4,unknown
26,real,real/0212_testing-videos_30FPS_perspective-center_take-2_trimmed-ball-in-basket.mp4,unknown
27,real,real/0215_testing-videos_30FPS_perspective-center_take-2_trimmed-ball-in-sand.mp4,unknown
28,real,real/0227_testing-videos_30FPS_perspective-center_take-2_trimmed-ball-train.mp4,unknown
29,real,real/0233_testing-videos_30FPS_perspective-center_take-2_trimmed-block-domino.mp4,unknown
30,real,real/0251_testing-videos_30FPS_perspective-center_take-2_trimmed-double-cradle.mp4,unknown
31,real,real/0260_testing-videos_30FPS_perspective-center_take-2_trimmed-duck-static.mp4,unknown
32,real,real/0269_testing-videos_30FPS_perspective-center_take-2_trimmed-juice-in-water.mp4,unknown
33,real,real/0275_testing-videos_30FPS_perspective-center_take-2_trimmed-light-on-mug.mp4,unknown
34,real,real/0281_testing-videos_30FPS_perspective-center_take-2_trimmed-light-on-statue.mp4,unknown
35,real,real/0284_testing-videos_30FPS_perspective-center_take-2_trimmed-liquid-on-duck.mp4,unknown
36,real,real/0296_testing-videos_30FPS_perspective-center_take-2_trimmed-magnet-transparent-peakaboo.mp4,magnet
37,real,real/0314_testing-videos_30FPS_perspective-center_take-2_trimmed-mirror-ball-fall.mp4,unknown
38,real,real/0332_testing-videos_30FPS_perspective-center_take-2_trimmed-paper-fall-water.mp4,unknown
39,real,real/0341_testing-videos_30FPS_perspective-center_take-2_trimmed-potato-in-water.mp4,unknown
40,real,real/0344_testing-videos_30FPS_perspective-center_take-2_trimmed-roll-behind-box.mp4,unknown
41,real,real/0347_testing-videos_30FPS_perspective-center_take-2_trimmed-roll-front-box.mp4,unknown
42,real,real/0353_testing-videos_30FPS_perspective-center_take-2_trimmed-rolling-reflection.mp4,unknown
43,real,real/0356_testing-videos_30FPS_perspective-center_take-2_trimmed-silk-cover.mp4,unknown
44,real,real/0359_testing-videos_30FPS_perspective-center_take-2_trimmed-single-cradle.mp4,unknown
45,real,real/0362_testing-videos_30FPS_perspective-center_take-2_trimmed-siphon.mp4,unknown
46,real,real/0365_testing-videos_30FPS_perspective-center_take-2_trimmed-smiley-ball-rotates.mp4,unknown
47,real,real/0374_testing-videos_30FPS_perspective-center_take-2_trimmed-teapot-rotates.mp4,unknown
48,real,real/0377_testing-videos_30FPS_perspective-center_take-2_trimmed-two-balls-pass.mp4,unknown
49,real,real/0383_testing-videos_30FPS_perspective-center_take-2_trimmed-water-in-juice.mp4,unknown
50,real,real/0395_testing-videos_30FPS_perspective-center_take-2_trimmed-weight-protects-duck.mp4,unknown
51,reversed,reversed/0002_testing-videos_30FPS_perspective-center_take-1_trimmed-ball-and-block-fall_reversed.mp4,unknown
52,reversed,reversed/0011_testing-videos_30FPS_perspective-center_take-1_trimmed-ball-hits-nothing_reversed.mp4,unknown
53,reversed,reversed/0014_testing-videos_30FPS_perspective-center_take-1_trimmed-ball-in-basket_reversed.mp4,unknown
54,reversed,reversed/0020_testing-videos_30FPS_perspective-center_take-1_trimmed-ball-ramp_reversed.mp4,unknown
55,reversed,reversed/0035_testing-videos_30FPS_perspective-center_take-1_trimmed-block-domino_reversed.mp4,unknown
56,reversed,reversed/0038_testing-videos_30FPS_perspective-center_take-1_trimmed-blow-balloon_reversed.mp4,unknown
57,reversed,reversed/0041_testing-videos_30FPS_perspective-center_take-1_trimmed-cut-orange_reversed.mp4,unknown
58,reversed,reversed/0053_testing-videos_30FPS_perspective-center_take-1_trimmed-double-cradle_reversed.mp4,unknown
59,reversed,reversed/0059_testing-videos_30FPS_perspective-center_take-1_trimmed-duck-falls-in-box_reversed.mp4,unknown
60,reversed,reversed/0062_testing-videos_30FPS_perspective-center_take-1_trimmed-duck-static_reversed.mp4,unknown
61,reversed,reversed/0077_testing-videos_30FPS_perspective-center_take-1_trimmed-light-on-mug_reversed.mp4,unknown
62,reversed,reversed/0083_testing-videos_30FPS_perspective-center_take-1_trimmed-light-on-statue_reversed.mp4,unknown
63,reversed,reversed/0086_testing-videos_30FPS_perspective-center_take-1_trimmed-liquid-on-duck_reversed.mp4,unknown
64,reversed,reversed/0089_testing-videos_30FPS_perspective-center_take-1_trimmed-liquid-overfill_reversed.mp4,unknown
65,reversed,reversed/0107_testing-videos_30FPS_perspective-center_take-1_trimmed-marble-run-y_reversed.mp4,unknown
66,reversed,reversed/0131_testing-videos_30FPS_perspective-center_take-1_trimmed-paint-on-glass_reversed.mp4,unknown
67,reversed,reversed/0134_testing-videos_30FPS_perspective-center_take-1_trimmed-paper-fall-water_reversed.mp4,unknown
68,reversed,reversed/0137_testing-videos_30FPS_perspective-center_take-1_trimmed-paper-in-water_reversed.mp4,unknown
69,reversed,reversed/0146_testing-videos_30FPS_perspective-center_take-1_trimmed-roll-behind-box_reversed.mp4,unknown
70,reversed,reversed/0161_testing-videos_30FPS_perspective-center_take-1_trimmed-single-cradle_reversed.mp4,unknown
71,reversed,reversed/0164_testing-videos_30FPS_perspective-center_take-1_trimmed-siphon_reversed.mp4,unknown
72,reversed,reversed/0173_testing-videos_30FPS_perspective-center_take-1_trimmed-stable-blocks_reversed.mp4,unknown
73,reversed,reversed/0188_testing-videos_30FPS_perspective-center_take-1_trimmed-weight-on-ceramic_reversed.mp4,unknown
74,reversed,reversed/0194_testing-videos_30FPS_perspective-center_take-1_trimmed-weight-on-pillow_reversed.mp4,unknown
75,reversed,reversed/0209_testing-videos_30FPS_perspective-center_take-2_trimmed-ball-hits-nothing_reversed.mp4,unknown
76,reversed,reversed/0212_testing-videos_30FPS_perspective-center_take-2_trimmed-ball-in-basket_reversed.mp4,unknown
77,reversed,reversed/0215_testing-videos_30FPS_perspective-center_take-2_trimmed-ball-in-sand_reversed.mp4,unknown
78,reversed,reversed/0227_testing-videos_30FPS_perspective-center_take-2_trimmed-ball-train_reversed.mp4,unknown
79,reversed,reversed/0233_testing-videos_30FPS_perspective-center_take-2_trimmed-block-domino_reversed.mp4,unknown
80,reversed,reversed/0251_testing-videos_30FPS_perspective-center_take-2_trimmed-double-cradle_reversed.mp4,unknown
81,reversed,reversed/0260_testing-videos_30FPS_perspective-center_take-2_trimmed-duck-static_reversed.mp4,unknown
82,reversed,reversed/0269_testing-videos_30FPS_perspective-center_take-2_trimmed-juice-in-water_reversed.mp4,unknown
83,reversed,reversed/0275_testing-videos_30FPS_perspective-center_take-2_trimmed-light-on-mug_reversed.mp4,unknown
84,reversed,reversed/0281_testing-videos_30FPS_perspective-center_take-2_trimmed-light-on-statue_reversed.mp4,unknown
85,reversed,reversed/0284_testing-videos_30FPS_perspective-center_take-2_trimmed-liquid-on-duck_reversed.mp4,unknown
